to_country,from_country,person_cnt
AD,ES,3
AD,FR,1
AD,US,1
AE,AM,2
AE,AU,36
AE,BD,1
AE,BE,1
AE,BG,1
AE,BH,1
AE,BN,2
AE,CA,42
AE,CH,1
AE,CL,1
AE,CN,9
AE,CO,3
AE,CY,2
AE,DE,16
AE,DK,3
AE,EG,24
AE,ER,1
AE,ES,9
AE,ET,1
AE,FI,1
AE,FR,23
AE,GB,103
AE,GR,18
AE,HK,2
AE,HR,1
AE,ID,1
AE,IE,3
AE,IL,1
AE,IN,80
AE,IQ,2
AE,IS,1
AE,IT,14
AE,JM,1
AE,JO,27
AE,JP,7
AE,KG,1
AE,KR,13
AE,KW,3
AE,LB,6
AE,LK,1
AE,LU,1
AE,MA,2
AE,MT,1
AE,MU,1
AE,MX,1
AE,MY,20
AE,NG,6
AE,NL,3
AE,NO,2
AE,NP,1
AE,NZ,5
AE,OM,18
AE,PH,3
AE,PK,28
AE,PL,1
AE,PS,2
AE,PT,5
AE,QA,2
AE,RO,2
AE,RS,2
AE,RU,3
AE,SA,23
AE,SD,9
AE,SE,5
AE,SG,6
AE,SO,1
AE,SY,4
AE,TN,2
AE,TR,9
AE,TW,2
AE,UA,2
AE,UG,1
AE,US,145
AE,ZA,11
AF,BD,2
AF,DE,3
AF,ET,1
AF,FR,1
AF,GB,3
AF,IN,6
AF,IT,1
AF,JO,1
AF,JP,4
AF,KG,1
AF,KR,1
AF,LK,1
AF,MY,1
AF,NL,1
AF,NP,1
AF,PK,3
AF,RS,1
AF,SO,1
AF,TH,1
AF,US,4
AF,ZA,1
AF,ZW,1
AG,IN,1
AG,US,1
AI,AW,1
AI,US,3
AL,AT,1
AL,AU,2
AL,BA,1
AL,CO,1
AL,CZ,1
AL,DE,4
AL,ES,2
AL,FR,2
AL,GB,4
AL,HR,1
AL,IT,12
AL,JP,1
AL,NL,2
AL,PT,1
AL,RO,1
AL,TR,3
AL,US,7
AL,XK,1
AM,BE,1
AM,CN,2
AM,DE,3
AM,FR,1
AM,GR,4
AM,IL,1
AM,IN,1
AM,IT,1
AM,LB,1
AM,PL,1
AM,PT,1
AM,RU,2
AM,SI,1
AM,SK,1
AM,UA,1
AM,US,2
AO,AQ,1
AO,BR,6
AO,CU,4
AO,ES,1
AO,FR,1
AO,GB,5
AO,KH,1
AO,MA,1
AO,PT,26
AO,US,1
AO,VE,1
AO,ZW,1
AQ,IL,1
AQ,KR,1
AQ,US,1
AQ,VE,1
AR,AT,1
AR,AU,4
AR,BE,1
AR,BO,3
AR,BR,69
AR,CA,10
AR,CH,6
AR,CL,24
AR,CO,124
AR,CR,6
AR,CU,10
AR,CZ,1
AR,DE,22
AR,DK,1
AR,DO,2
AR,EC,31
AR,ES,90
AR,FR,31
AR,GB,18
AR,HK,1
AR,HN,2
AR,IL,2
AR,IN,1
AR,IT,20
AR,JP,1
AR,KE,1
AR,MX,24
AR,NI,1
AR,NL,8
AR,NO,1
AR,NZ,1
AR,PA,2
AR,PE,21
AR,PK,1
AR,PR,1
AR,PT,13
AR,PY,4
AR,QA,1
AR,RU,1
AR,SE,1
AR,SV,1
AR,US,57
AR,UY,8
AR,VE,10
AS,NZ,1
AS,US,1
AT,AE,1
AT,AL,4
AT,AM,1
AT,AR,3
AT,AU,29
AT,BA,2
AT,BD,2
AT,BE,25
AT,BG,2
AT,BR,16
AT,CA,42
AT,CH,68
AT,CL,3
AT,CN,19
AT,CO,2
AT,CR,2
AT,CU,2
AT,CV,1
AT,CY,2
AT,CZ,20
AT,DE,303
AT,DK,17
AT,DZ,1
AT,EC,2
AT,EG,6
AT,ES,62
AT,ET,3
AT,FI,27
AT,FR,60
AT,GB,123
AT,GE,1
AT,GR,14
AT,HK,2
AT,HR,5
AT,HU,18
AT,ID,1
AT,IE,9
AT,IL,5
AT,IN,29
AT,IR,11
AT,IS,4
AT,IT,112
AT,JO,1
AT,JP,16
AT,KE,1
AT,KR,12
AT,KZ,1
AT,LB,1
AT,LI,1
AT,LK,1
AT,LU,3
AT,MA,1
AT,MK,2
AT,MO,1
AT,MT,2
AT,MW,1
AT,MX,3
AT,MY,4
AT,MZ,1
AT,NL,41
AT,NO,7
AT,NZ,10
AT,PE,1
AT,PH,3
AT,PK,11
AT,PL,11
AT,PT,25
AT,QA,2
AT,RO,8
AT,RS,9
AT,RU,15
AT,SE,25
AT,SG,7
AT,SI,11
AT,SK,9
AT,SY,1
AT,TH,2
AT,TN,2
AT,TR,17
AT,TW,5
AT,UA,9
AT,US,155
AT,VE,1
AT,VN,4
AT,ZA,4
AU,AE,16
AU,AF,1
AU,AR,12
AU,AT,41
AU,BD,140
AU,BE,62
AU,BG,2
AU,BH,2
AU,BN,6
AU,BR,125
AU,BS,1
AU,BT,9
AU,CA,256
AU,CH,86
AU,CL,45
AU,CN,625
AU,CO,38
AU,CR,3
AU,CY,3
AU,CZ,11
AU,DE,285
AU,DK,61
AU,EC,39
AU,EE,6
AU,EG,21
AU,ES,111
AU,ET,26
AU,FI,35
AU,FJ,21
AU,FM,1
AU,FR,189
AU,GB,1081
AU,GH,33
AU,GM,1
AU,GR,20
AU,GT,1
AU,HK,76
AU,HR,1
AU,HU,5
AU,ID,98
AU,IE,72
AU,IL,18
AU,IN,328
AU,IQ,21
AU,IR,196
AU,IS,1
AU,IT,115
AU,JM,1
AU,JO,14
AU,JP,110
