country,stable,enter,leave,enter-leave,(enter-leave)/(stable)
US,77231,25488,20854,4634,6%
GB,28030,16121,14812,1309,5%
CN,21297,7627,9438,-1811,-9%
DE,8223,8198,8372,-174,-2%
IN,24822,2464,8135,-5671,-23%
ES,16390,6125,7652,-1527,-9%
FR,6315,5389,6995,-1606,-25%
IT,10963,3535,5733,-2198,-20%
CA,6883,5089,5165,-76,-1%
AU,12699,7326,4470,2856,22%
BR,41004,4630,4399,231,1%
NL,3346,3384,3676,-292,-9%
JP,6976,3064,3049,15,0%
CH,2300,3866,2985,881,38%
PT,12110,3857,2815,1042,9%
ZA,6277,1708,3512,-1804,-29%
KR,5657,2835,2422,413,7%
CO,9267,2150,2389,-239,-3%
SE,3984,3246,2304,942,24%
BE,2140,2234,2080,154,7%
IR,5284,542,1908,-1366,-26%
MX,7094,1898,1591,307,4%
SG,1229,2057,1554,503,41%
PK,2748,825,1505,-680,-25%
DK,4009,2485,1482,1003,25%
MY,2870,1751,1478,273,10%
IE,1832,1669,1405,264,14%
TR,8330,1707,1338,369,4%
AT,1292,1508,1314,194,15%
VN,408,435,1799,-1364,-334%
GR,1328,478,1236,-758,-57%
HK,974,1512,1218,294,30%
RU,6803,861,1194,-333,-5%
NG,2618,453,1113,-660,-25%
TW,2518,1252,1060,192,8%
NZ,1372,1411,1010,401,29%
BD,1742,547,995,-448,-26%
FI,2053,1204,920,284,14%
EG,1986,663,891,-228,-11%
CL,1676,1151,867,284,17%
ID,4953,811,836,-25,-1%
EC,1510,1153,766,387,26%
PL,3212,704,728,-24,-1%
SA,587,1729,717,1012,172%
IL,749,774,678,96,13%
NO,1226,1190,676,514,42%
AR,1633,638,647,-9,-1%
ZW,163,98,857,-759,-466%
UA,4693,217,633,-416,-9%
CU,528,62,610,-548,-104%
PE,2098,555,584,-29,-1%
CZ,1540,894,555,339,22%
VE,505,142,551,-409,-81%
HU,1079,387,499,-112,-10%
PH,1384,190,431,-241,-17%
GH,705,292,430,-138,-20%
TH,609,541,406,135,22%
LK,669,199,402,-203,-30%
NP,484,217,336,-119,-25%
JO,293,386,335,51,17%
ET,667,302,330,-28,-4%
KE,703,393,306,87,12%
IQ,438,385,301,84,19%
LB,206,176,288,-112,-54%
AE,288,794,281,513,178%
RO,805,159,281,-122,-15%
RS,841,96,252,-156,-19%
SY,60,11,225,-214,-357%
YE,26,43,284,-241,-927%
PR,123,120,217,-97,-79%
SD,151,66,201,-135,-89%
CR,244,147,194,-47,-19%
UG,284,166,189,-23,-8%
QA,216,681,185,496,230%
CY,173,289,182,107,62%
HR,833,140,179,-39,-5%
SI,218,107,177,-70,-32%
ZM,83,89,225,-136,-164%
TN,285,83,169,-86,-30%
SK,235,97,146,-49,-21%
TZ,234,133,122,11,5%
DZ,369,66,115,-49,-13%
PS,75,82,111,-29,-39%
CM,164,67,110,-43,-26%
EE,165,144,107,37,22%
KZ,399,178,107,71,18%
LU,54,227,103,124,230%
MA,319,67,102,-35,-11%
BG,322,79,99,-20,-6%
OM,48,222,93,129,269%
UY,122,109,88,21,17%
LY,22,50,87,-37,-168%
IS,106,131,85,46,43%
LT,295,74,80,-6,-2%
BO,62,40,79,-39,-63%
BY,236,31,79,-48,-20%
MZ,82,57,77,-20,-24%
MM,56,37,66,-29,-52%
MO,40,130,65,65,163%
AM,56,24,64,-40,-71%
DO,42,57,64,-7,-17%
AL,70,47,62,-15,-21%
GT,51,48,62,-14,-27%
PA,42,79,61,18,43%
HN,33,25,59,-34,-103%
AZ,76,39,58,-19,-25%
LV,148,44,58,-14,-9%
BA,130,43,56,-13,-10%
SN,39,46,56,-10,-26%
PY,65,60,55,5,8%
RW,77,83,54,29,38%
FJ,52,70,50,20,38%
KW,37,136,49,87,235%
AO,18,49,47,2,11%
UZ,119,29,47,-18,-15%
MW,94,63,44,19,20%
MT,60,65,43,22,37%
BN,17,83,41,42,247%
BJ,38,31,40,-9,-24%
KH,24,53,40,13,54%
BH,16,59,39,20,125%
GD,7,15,39,-24,-343%
BW,53,90,38,52,98%
NI,55,38,38,0,0%
AF,29,40,37,3,10%
CD,26,18,36,-18,-69%
GE,63,17,33,-16,-25%
MN,23,27,33,-6,-26%
MK,61,22,32,-10,-16%
SV,53,18,30,-12,-23%
BF,35,33,29,4,11%
KG,33,26,28,-2,-6%
LS,11,17,26,-9,-82%
MG,27,25,26,-1,-4%
SZ,7,21,25,-4,-57%
JM,12,10,23,-13,-108%
CV,9,34,22,12,133%
MD,18,10,22,-12,-67%
MU,20,11,22,-11,-55%
BT,17,26,21,5,29%
TT,28,34,21,13,46%
ER,10,10,20,-10,-100%
GM,6,16,20,-4,-67%
SO,36,48,20,28,78%
TL,8,21,20,1,13%
CI,20,18,19,-1,-5%
KN,1,10,17,-7,-700%
LR,24,25,17,8,33%
SL,15,28,17,11,73%
TG,12,12,17,-5,-42%
RE,10,23,16,7,70%
VI,1,6,24,-18,-1800%
HT,4,9,15,-6,-150%
ML,4,19,15,4,100%
SS,4,18,15,3,75%
GP,3,10,14,-4,-133%
PG,9,19,14,5,56%
GN,5,14,13,1,20%
LA,3,17,13,4,133%
AG,0,2,11,-9,0%
BB,2,6,11,-5,-250%
BS,1,13,10,3,300%
CG,3,15,10,5,167%
NE,1,15,10,5,500%
SC,2,2,10,-8,-400%
AW,1,6,9,-3,-300%
GL,4,14,9,5,125%
KY,1,4,9,-5,-500%
TJ,14,9,9,0,0%
BI,6,10,8,2,33%
CW,1,10,8,2,200%
GF,4,12,8,4,100%
LI,2,7,8,-1,-50%
VU,4,6,10,-4,-100%
DM,3,3,7,-4,-133%
GY,3,15,7,8,267%
MV,4,12,7,5,125%
NC,4,13,7,6,150%
ST,1,3,7,-4,-400%
CF,1,6,6,0,0%
GQ,0,3,6,-3,0%
ME,17,16,6,10,59%
SX,0,4,6,-2,0%
WS,0,4,7,-3,0%
GA,6,8,5,3,50%
GU,1,6,5,1,100%
IM,0,5,5,0,0%
PF,5,10,5,5,100%
YT,0,4,8,-4,0%
AQ,0,4,4,0,0%
BM,1,1,4,-3,-300%
GW,1,9,4,5,500%
KP,2,2,4,-2,-100%
TD,2,6,4,2,100%
VA,0,4,4,0,0%
BZ,3,9,3,6,200%
FK,0,2,3,-1,0%
FO,1,7,3,4,400%
JE,1,6,3,3,300%
MC,0,10,3,7,0%
SM,1,3,3,0,0%
TM,0,2,3,-1,0%
AD,5,5,2,3,60%
BV,0,1,2,-1,0%
GG,0,2,2,0,0%
GI,1,5,2,3,300%
KM,0,4,2,2,0%
MQ,4,6,2,4,100%
MR,1,3,2,1,100%
PW,0,1,2,-1,0%
SR,0,5,2,3,0%
TC,0,2,2,0,0%
VC,0,8,2,6,0%
XK,0,1,3,-2,0%
AI,0,4,1,3,0%
AS,1,2,1,1,100%
CX,0,0,1,-1,0%
FM,1,1,1,0,0%
KI,0,2,1,1,0%
LC,0,5,1,4,0%
MF,0,1,1,0,0%
MH,0,1,1,0,0%
MP,0,2,1,1,0%
